id,loc,event,feature,vol,rsc,sev,tar
11066,481,35,230,28,2,2,0
11066,481,34,310,20,2,2,0
18000,962,11,203,20,8,1,2
16964,491,35,235,11,2,2,0
4795,532,27,240,1,3,5,1
4795,532,10,38,1,3,5,1
3392,600,15,82,2,8,2,1
3795,794,11,223,1,7,1,0
3795,794,23,163,2,7,1,0
3795,794,14,306,1,7,1,0
2881,375,34,233,11,2,2,0
1903,638,42,283,15,2,1,2
1903,638,44,376,15,2,1,2
5245,690,11,195,7,8,1,0
15795,320,34,312,1,2,2,1
3393,931,15,80,2,8,1,2
3393,931,11,201,15,8,1,2
6764,707,26,349,1,8,2,0
6764,707,15,80,1,8,2,0
13039,135,35,307,1,2,2,0
13039,135,34,312,1,2,2,0
12331,7,7,202,1,8,1,2
12331,7,11,55,5,8,1,2
14276,821,11,201,8,8,1,1
14276,821,15,82,4,8,1,1
14638,525,34,232,1,2,2,0
6573,126,35,313,10,2,2,0
6573,126,34,233,2,2,2,0
2222,846,11,203,25,8,1,0
8824,493,35,312,1,2,2,0
8824,493,34,230,1,2,2,0
7553,810,11,71,22,8,1,0
7553,810,15,82,2,8,1,0
13760,875,11,202,4,8,1,0
4284,707,11,201,1,8,1,0
4284,707,15,80,8,8,1,0
3410,793,11,195,11,8,2,0
8998,943,11,170,4,8,1,1
18052,490,34,315,2,2,2,0
18052,490,35,234,2,2,2,0
7539,292,35,233,6,2,2,0
7539,292,34,313,2,2,2,0
9529,1024,11,73,4,8,2,0
3656,885,11,191,3,8,1,0
14238,734,11,76,1,8,1,0
2682,266,35,227,1,2,2,1
2682,266,34,232,1,2,2,1
7312,678,11,171,1,8,1,0
7312,678,20,134,2,8,1,0
12971,645,46,285,176,2,1,0
10735,164,35,232,1,2,2,0
4050,696,11,170,12,8,2,0
5943,519,34,312,1,2,2,0
5943,519,35,313,1,2,2,0
6482,945,54,362,2,2,4,0
9746,704,15,203,24,8,1,2
13320,1042,15,203,44,8,1,2
803,1099,11,171,2,8,1,0
12302,124,35,315,5,2,2,0
12302,124,34,312,4,2,2,0
12271,460,35,312,8,2,2,0
5341,814,11,70,19,8,1,0
4427,126,35,313,8,2,2,0
4427,126,34,233,5,2,2,0
14625,124,35,315,2,2,2,0
14625,124,34,235,3,2,2,0
2922,704,15,203,21,8,2,1
16330,1061,15,82,12,8,2,2
12890,256,34,312,9,2,2,0
2140,183,35,230,1,2,2,0
2140,183,34,308,1,2,2,0
13484,922,20,134,1,2,1,0
12392,184,35,307,1,2,4,0
2322,1019,11,196,26,8,1,0
2322,1019,15,82,22,8,1,0
567,734,15,80,20,8,1,0
567,734,11,203,1,8,1,0
4436,236,35,227,2,2,2,0
4436,236,34,307,24,2,2,0
12156,124,35,307,4,2,2,0
12156,124,34,312,4,2,2,0
7508,858,15,172,3,8,1,1
6184,707,26,80,1,8,1,0
6184,707,15,349,8,8,1,0
6184,707,11,193,13,8,1,0
6458,1100,15,82,4,8,1,1
6458,1100,11,203,1,8,1,1
13967,155,35,219,1,2,1,0
13967,155,20,301,1,2,1,0
13967,155,34,134,6,2,1,0
894,1008,15,82,6,8,2,0
7461,1107,11,203,1,8,1,1
7461,1107,15,80,1,8,1,1
8949,270,34,221,1,2,1,0
8949,270,35,229,1,2,1,0
8949,270,20,308,1,2,1,0
3477,1083,11,170,2,8,1,1
2779,451,35,313,31,2,2,0
13551,895,42,368,4,2,2,1
13551,895,43,376,1,2,2,1
13551,895,44,290,3,2,2,1
8297,964,11,195,2,8,1,0
5050,744,11,54,1,8,1,1
10716,112,35,134,1,2,1,0
10716,112,20,219,1,2,1,0
16075,553,54,361,3,2,1,0
1366,1050,11,163,1,4,1,1
774,466,35,312,7,2,2,0
7406,1093,23,306,1,7,2,0
9649,964,11,195,1,8,1,0
16115,651,11,62,3,8,1,1
14749,927,11,170,18,8,1,2
