id,loc,event,feature,vol,rsc,sev,tar
14121,118,34,312,19,2,2,1
9320,91,34,315,116,2,2,0
14394,152,35,221,1,2,2,1
8218,931,15,80,12,8,1,1
8218,931,11,82,1,8,1,1
14804,120,34,134,1,2,1,0
14804,120,11,219,1,2,1,0
14804,120,36,117,2,2,1,0
14804,120,20,227,2,2,1,0
1080,664,11,171,8,8,1,0
15505,122,34,235,4,2,2,0
15505,122,35,233,5,2,2,0
3443,263,34,312,1,2,2,1
13300,613,54,71,30,8,1,1
8976,760,11,136,2,8,1,1
8976,760,2,87,2,8,1,1
7965,519,34,312,1,2,2,0
10342,746,11,134,1,2,1,0
10342,746,20,166,3,2,1,0
6741,1066,11,68,1,8,1,1
7187,812,11,167,3,8,1,0
16780,343,34,232,1,2,2,0
14195,133,35,312,1,2,2,0
14195,133,34,313,1,2,2,0
14025,976,54,82,1,8,1,0
9566,808,11,71,5,8,1,0
15652,894,44,378,33,2,1,0
15652,894,45,291,31,2,1,0
15652,894,43,376,29,2,1,0
15652,894,42,375,2,2,1,0
3931,875,11,202,4,8,1,0
7504,1016,11,170,1,8,1,1
9735,707,15,193,6,8,2,0
14048,978,15,201,1,8,1,1
6769,775,15,203,4,8,1,0
2514,829,11,55,1,8,2,0
896,732,11,55,1,8,1,0
4757,508,35,312,19,2,2,0
4757,508,34,229,4,2,2,0
16358,257,20,134,1,2,1,1
11810,116,34,232,4,2,2,0
7274,830,11,68,2,8,1,1
2972,491,34,235,2,2,2,0
7392,253,35,232,2,2,2,0
7392,253,34,227,1,2,2,0
6824,740,11,195,1,8,2,0
4311,704,15,74,20,8,1,2
4311,704,11,203,5,8,1,2
12261,1089,11,170,1,8,1,2
14752,653,11,76,5,8,2,0
14992,600,15,203,2,8,2,2
967,892,42,291,4,2,1,2
967,892,43,375,1,2,1,2
967,892,44,290,6,2,1,2
13406,794,14,163,3,4,1,0
13406,794,23,47,1,4,1,0
13406,794,11,134,2,4,1,0
13406,794,20,306,1,4,1,0
11424,477,35,235,14,2,2,0
11424,477,34,229,2,2,2,0
3945,684,15,71,44,8,2,2
10351,895,42,375,44,2,1,2
10351,895,44,283,51,2,1,2
10351,895,43,291,54,2,1,2
2272,496,35,307,23,2,2,0
2272,496,34,312,2,2,2,0
10752,321,34,312,2,2,2,1
10752,321,35,307,2,2,2,1
17096,1107,15,71,90,8,1,2
17096,1107,11,193,1,8,1,2
17314,1086,15,82,14,8,2,2
12770,895,42,290,1,2,1,1
12770,895,43,283,10,2,1,1
12770,895,44,375,12,2,1,1
3304,1099,11,81,3,8,2,1
9012,975,20,134,1,2,1,0
9928,1019,15,203,72,8,2,2
297,812,10,55,2,8,1,2
297,812,11,150,9,8,1,2
5751,342,35,232,4,2,2,0
17692,744,14,54,2,8,2,1
3688,181,35,313,2,2,4,0
3425,1086,15,203,20,8,2,1
7871,1052,15,203,1,8,1,1
7871,1052,11,80,9,8,1,1
10013,696,11,54,1,8,2,0
13832,1008,15,80,12,8,2,1
11743,798,15,82,5,8,2,1
10099,760,11,170,107,8,1,1
16682,777,15,203,4,8,2,1
10156,95,35,232,6,2,2,1
10156,95,34,230,6,2,2,1
14176,272,35,134,2,2,1,1
14176,272,20,301,2,2,1,1
14964,704,15,201,22,8,2,2
12896,613,54,203,10,8,1,2
7288,846,15,203,29,8,2,2
15882,795,11,101,3,8,1,0
15882,795,15,167,135,8,1,0
12441,826,13,223,2,7,1,1
12441,826,23,345,4,7,1,1
12441,826,11,54,3,7,1,1
17248,112,11,181,1,8,2,0
17248,112,35,160,1,8,2,0
17248,112,34,44,1,8,2,0
16745,778,15,80,1,8,2,0
5315,810,11,193,4,8,1,0
5315,810,15,203,1,8,1,0
17118,895,42,283,1,2,1,1
7725,690,11,73,2,8,1,0
2311,494,20,117,1,8,1,0
2311,494,35,181,5,8,1,0
2311,494,36,313,4,8,1,0
2311,494,11,232,1,8,1,0
2311,494,34,233,1,8,1,0
15773,445,35,232,7,2,2,0
6531,478,34,234,11,2,2,0
6531,478,35,232,2,2,2,0
16009,661,22,75,1,7,2,0
11930,380,35,312,4,2,2,0
8541,242,35,232,8,2,2,0
11019,1082,11,68,2,8,1,0
8274,181,34,233,2,2,2,0
8274,181,35,313,1,2,2,0
722,1007,11,201,3,8,1,0
12305,131,35,301,1,2,2,1
11444,1007,15,80,12,8,1,1
4006,931,11,201,1,8,1,1
4006,931,15,82,1,8,1,1
9231,980,11,80,1,8,1,1
6821,118,34,232,1,2,1,0
6821,118,20,307,1,2,1,0
6821,118,35,301,1,2,1,0
6779,169,35,307,1,2,2,0
6779,169,34,312,1,2,2,0
11232,421,34,307,3,2,1,0
11232,421,20,312,1,2,1,0
11232,421,35,232,3,2,1,0
11685,779,15,82,1,8,2,2
1318,690,11,219,2,8,1,1
1318,690,20,202,1,8,1,1
909,59,11,171,3,8,2,1
18511,648,11,345,1,6,1,1
18511,648,13,68,2,6,1,1
16460,478,34,309,1,2,2,0
16460,478,35,313,1,2,2,0
12008,118,34,232,13,2,2,0
6811,124,35,235,7,2,2,0
6811,124,34,313,4,2,2,0
16071,7,11,171,5,8,1,0
183,1026,13,273,6,6,1,1
15368,1106,11,170,24,8,1,0
5064,1090,11,202,6,8,1,0
11530,522,35,312,5,2,2,0
14860,1007,15,80,1,8,1,0
13166,836,11,73,1,8,1,0
14528,145,34,232,2,2,2,0
14528,145,35,312,3,2,2,0
4202,895,44,376,4,2,2,1
4202,895,43,375,1,2,2,1
4202,895,50,374,5,2,2,1
4202,895,42,368,1,2,2,1
3916,1020,11,209,3,8,1,1
11454,804,20,219,1,2,1,1
