11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
18000,location 962,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-9 - 20 - ,-resource_type 8 - ,-severity_type 1 - 
16964,location 491,-event_type 35 - event_type 34 - ,-feature 235 - feature 315 - ,-10 - 11 - ,-resource_type 2 - ,-severity_type 2 - 
4795,location 532,-event_type 27 - event_type 10 - ,-feature 240 - feature 38 - feature 37 - ,-1 - 1 - 1 - ,-resource_type 3 - resource_type 9 - ,-severity_type 5 - 
3392,location 600,-event_type 15 - ,-feature 82 - feature 203 - ,-6 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
3795,location 794,-event_type 11 - event_type 23 - event_type 14 - ,-feature 223 - feature 163 - feature 306 - feature 47 - ,-2 - 1 - 2 - 1 - ,-resource_type 7 - resource_type 4 - resource_type 8 - ,-severity_type 1 - 
2881,location 375,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - ,-4 - 11 - ,-resource_type 2 - ,-severity_type 2 - 
1903,location 638,-event_type 42 - event_type 44 - ,-feature 283 - feature 376 - feature 368 - feature 291 - ,-6 - 15 - 15 - 6 - ,-resource_type 2 - ,-severity_type 1 - 
5245,location 690,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
6726,location 893,-event_type 50 - ,-feature 374 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
1311,location 418,-event_type 35 - ,-feature 301 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
15795,location 320,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
4315,location 1013,-event_type 15 - ,-feature 80 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
3393,location 931,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - feature 203 - feature 68 - feature 82 - ,-4 - 2 - 15 - 1 - 11 - ,-resource_type 8 - ,-severity_type 1 - 
6764,location 707,-event_type 26 - event_type 15 - ,-feature 349 - feature 80 - feature 201 - feature 71 - feature 193 - feature 276 - ,-4 - 1 - 1 - 12 - 6 - 4 - ,-resource_type 8 - resource_type 9 - ,-severity_type 2 - 
13039,location 135,-event_type 35 - event_type 34 - ,-feature 307 - feature 312 - feature 232 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
12331,location 7,-event_type 7 - event_type 11 - ,-feature 202 - feature 55 - feature 70 - feature 81 - feature 191 - feature 171 - ,-9 - 1 - 5 - 10 - 12 - 3 - ,-resource_type 8 - resource_type 1 - ,-severity_type 1 - 
14276,location 821,-event_type 11 - event_type 15 - ,-feature 201 - feature 82 - feature 193 - feature 71 - feature 80 - ,-1 - 8 - 4 - 8 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
14638,location 525,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6573,location 126,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 232 - feature 235 - feature 312 - feature 315 - feature 307 - feature 227 - ,-10 - 10 - 2 - 4 - 2 - 4 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
2222,location 846,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-15 - 25 - ,-resource_type 8 - ,-severity_type 1 - 
8824,location 493,-event_type 35 - event_type 34 - ,-feature 312 - feature 230 - feature 235 - feature 232 - feature 314 - feature 234 - ,-3 - 1 - 1 - 1 - 16 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
6360,location 955,-event_type 11 - event_type 6 - ,-feature 55 - ,-1 - ,-resource_type 1 - resource_type 8 - ,-severity_type 2 - 
7553,location 810,-event_type 11 - event_type 15 - ,-feature 71 - feature 82 - feature 193 - feature 203 - ,-2 - 22 - 2 - 11 - ,-resource_type 8 - ,-severity_type 1 - 
13760,location 875,-event_type 11 - ,-feature 202 - feature 81 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
4284,location 707,-event_type 11 - event_type 15 - ,-feature 201 - feature 80 - feature 193 - feature 71 - ,-2 - 1 - 8 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
1356,location 1055,-event_type 15 - ,-feature 71 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
3410,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-10 - 11 - ,-resource_type 8 - ,-severity_type 2 - 
4830,location 723,-event_type 11 - ,-feature 209 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
8998,location 943,-event_type 11 - ,-feature 170 - feature 54 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
18052,location 490,-event_type 34 - event_type 35 - ,-feature 315 - feature 234 - feature 314 - feature 235 - ,-2 - 2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
7539,location 292,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 232 - feature 312 - ,-5 - 6 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
9529,location 1024,-event_type 11 - ,-feature 73 - feature 195 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
3656,location 885,-event_type 11 - ,-feature 191 - feature 70 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
14238,location 734,-event_type 11 - event_type 15 - ,-feature 76 - feature 68 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
2682,location 266,-event_type 35 - event_type 34 - ,-feature 227 - feature 232 - feature 307 - feature 233 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
7312,location 678,-event_type 11 - event_type 20 - ,-feature 171 - feature 134 - feature 55 - ,-2 - 1 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
12971,location 645,-event_type 46 - event_type 47 - ,-feature 285 - feature 284 - ,-176 - 176 - ,-resource_type 2 - ,-severity_type 1 - 
10735,location 164,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
4050,location 696,-event_type 11 - ,-feature 170 - feature 54 - ,-2 - 12 - ,-resource_type 8 - ,-severity_type 2 - 
5943,location 519,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 232 - feature 233 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6482,location 945,-event_type 54 - ,-feature 362 - feature 360 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 4 - 
9746,location 704,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-15 - 24 - ,-resource_type 8 - ,-severity_type 1 - 
13320,location 1042,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-12 - 44 - ,-resource_type 8 - ,-severity_type 1 - 
803,location 1099,-event_type 11 - ,-feature 171 - feature 81 - feature 202 - feature 55 - ,-2 - 2 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
15437,location 885,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
