id,loc,event,feature,vol,rsc,sev,tar
11066,481,35,230,28,2,2,
11066,481,34,310,20,2,2,
18000,962,11,203,20,8,1,
16964,491,35,235,11,2,2,
4795,532,27,240,1,3,5,
4795,532,10,38,1,3,5,
3392,600,15,82,2,8,2,
3795,794,11,223,1,7,1,
3795,794,23,163,2,7,1,
3795,794,14,306,1,7,1,
2881,375,34,233,11,2,2,
1903,638,42,283,15,2,1,
1903,638,44,376,15,2,1,
5245,690,11,195,7,8,1,
15795,320,34,312,1,2,2,
3393,931,15,80,2,8,1,
3393,931,11,201,15,8,1,
6764,707,26,349,1,8,2,
6764,707,15,80,1,8,2,
13039,135,35,307,1,2,2,
13039,135,34,312,1,2,2,
12331,7,7,202,1,8,1,
12331,7,11,55,5,8,1,
14276,821,11,201,8,8,1,
14276,821,15,82,4,8,1,
14638,525,34,232,1,2,2,
6573,126,35,313,10,2,2,
6573,126,34,233,2,2,2,
2222,846,11,203,25,8,1,
8824,493,35,312,1,2,2,
8824,493,34,230,1,2,2,
7553,810,11,71,22,8,1,
7553,810,15,82,2,8,1,
13760,875,11,202,4,8,1,
4284,707,11,201,1,8,1,
4284,707,15,80,8,8,1,
3410,793,11,195,11,8,2,
8998,943,11,170,4,8,1,
18052,490,34,315,2,2,2,
18052,490,35,234,2,2,2,
7539,292,35,233,6,2,2,
7539,292,34,313,2,2,2,
9529,1024,11,73,4,8,2,
3656,885,11,191,3,8,1,
14238,734,11,76,1,8,1,
2682,266,35,227,1,2,2,
2682,266,34,232,1,2,2,
7312,678,11,171,1,8,1,
7312,678,20,134,2,8,1,
12971,645,46,285,176,2,1,
10735,164,35,232,1,2,2,
4050,696,11,170,12,8,2,
5943,519,34,312,1,2,2,
5943,519,35,313,1,2,2,
6482,945,54,362,2,2,4,
9746,704,15,203,24,8,1,
13320,1042,15,203,44,8,1,
803,1099,11,171,2,8,1,
12302,124,35,315,5,2,2,
12302,124,34,312,4,2,2,
12271,460,35,312,8,2,2,
5341,814,11,70,19,8,1,
4427,126,35,313,8,2,2,
4427,126,34,233,5,2,2,
14625,124,35,315,2,2,2,
14625,124,34,235,3,2,2,
2922,704,15,203,21,8,2,
16330,1061,15,82,12,8,2,
12890,256,34,312,9,2,2,
2140,183,35,230,1,2,2,
2140,183,34,308,1,2,2,
13484,922,20,134,1,2,1,
12392,184,35,307,1,2,4,
2322,1019,11,196,26,8,1,
2322,1019,15,82,22,8,1,
567,734,15,80,20,8,1,
567,734,11,203,1,8,1,
4436,236,35,227,2,2,2,
4436,236,34,307,24,2,2,
12156,124,35,307,4,2,2,
12156,124,34,312,4,2,2,
7508,858,15,172,3,8,1,
6184,707,26,80,1,8,1,
6184,707,15,349,8,8,1,
6184,707,11,193,13,8,1,
6458,1100,15,82,4,8,1,
6458,1100,11,203,1,8,1,
13967,155,35,219,1,2,1,
13967,155,20,301,1,2,1,
13967,155,34,134,6,2,1,
894,1008,15,82,6,8,2,
7461,1107,11,203,1,8,1,
7461,1107,15,80,1,8,1,
8949,270,34,221,1,2,1,
8949,270,35,229,1,2,1,
8949,270,20,308,1,2,1,
3477,1083,11,170,2,8,1,
2779,451,35,313,31,2,2,
13551,895,42,368,4,2,2,
13551,895,43,376,1,2,2,
13551,895,44,290,3,2,2,
8297,964,11,195,2,8,1,
5050,744,11,54,1,8,1,
10716,112,35,134,1,2,1,
10716,112,20,219,1,2,1,
16075,553,54,361,3,2,1,
1366,1050,11,163,1,4,1,
774,466,35,312,7,2,2,
7406,1093,23,306,1,7,2,
9649,964,11,195,1,8,1,
16115,651,11,62,3,8,1,
14749,927,11,170,18,8,1,
4786,1107,15,80,7,8,1,
4786,1107,11,172,3,8,1,
16513,206,34,235,11,2,2,
16513,206,35,315,3,2,2,
2002,477,34,234,25,2,2,
2002,477,35,309,16,2,2,
4701,8,15,63,1,8,2,
7742,734,15,76,5,8,1,
685,1007,15,111,37,8,1,
685,1007,11,80,52,8,1,
11857,181,34,315,1,2,2,
11857,181,35,235,2,2,2,
11628,653,11,82,11,8,1,
11628,653,15,80,1,8,1,
15024,1064,20,134,1,2,1,
11914,1042,15,56,1,8,2,
5293,245,35,312,17,2,2,
3374,107,35,221,2,2,2,
13055,476,34,314,3,2,2,
13055,476,35,232,2,2,2,
17759,778,15,203,1,8,2,
590,1,15,80,2,8,2,
1353,197,35,313,1,2,4,
11938,1100,15,203,1,8,1,
11938,1100,11,71,203,8,1,
1018,1052,15,80,7,8,2,
14945,244,34,312,2,2,2,
1001,533,20,219,2,2,1,
3587,823,11,71,1,8,1,
868,373,34,232,43,2,2,
9296,653,11,203,39,8,1,
9296,653,15,82,4,8,1,
12455,270,35,313,5,2,2,
17132,794,11,306,1,8,1,
17132,794,14,219,1,8,1,
17132,794,20,134,1,8,1,
17132,794,23,47,1,8,1,
3696,1100,15,203,85,8,1,
10355,352,11,181,1,2,1,
10355,352,36,29,1,2,1,
2206,403,35,312,1,2,1,
2206,403,21,220,1,2,1,
14590,477,35,229,21,2,2,
14590,477,34,309,38,2,2,
13191,641,42,376,3,2,4,
5882,139,35,312,1,2,4,
12653,430,34,232,2,2,2,
1491,1010,11,42,1,8,1,
1176,12,54,362,2,8,1,
1176,12,11,360,1,8,1,
11246,798,11,203,14,8,1,
14557,1019,11,196,4,8,1,
14557,1019,15,82,3,8,1,
4772,706,11,204,7,8,1,
17192,135,35,232,3,2,2,
3281,1115,11,73,1,8,1,
3191,1018,15,80,7,8,1,
672,477,34,232,1,2,2,
6301,952,20,219,1,2,1,
1734,294,35,307,1,2,2,
1734,294,34,312,1,2,2,
2990,419,35,233,1,2,1,
2990,419,34,160,2,2,1,
2990,419,11,312,1,2,1,
5746,460,11,134,1,2,1,
5746,460,20,301,1,2,1,
5746,460,34,219,1,2,1,
5746,460,35,232,3,2,1,
15289,1123,20,219,1,2,1,
2971,489,35,232,22,2,2,
9771,893,43,368,4,2,1,
9771,893,42,291,7,2,1,
9771,893,44,376,4,2,1,
11253,909,11,170,3,8,1,
14576,756,2,1,1,2,1,
14576,756,11,219,1,2,1,
14576,756,20,136,1,2,1,
4688,798,15,82,6,8,2,
9298,814,11,70,5,8,1,
16099,16,11,68,2,8,1,
17316,648,13,68,8,8,1,
17316,648,11,54,3,8,1,
15212,476,34,314,21,2,2,
15212,476,35,229,22,2,2,
3805,468,34,312,20,2,2,
1158,309,20,219,1,2,1,
1158,309,35,232,1,2,1,
1158,309,34,312,1,2,1,
4834,600,15,203,1,8,2,
10914,382,34,312,1,2,2,
14606,1112,11,54,1,8,2,
3220,959,11,71,7,8,1,
10433,584,11,73,4,8,1,
11251,703,11,155,1,8,1,
8084,227,35,227,1,2,2,
8084,227,34,232,1,2,2,
522,124,36,235,1,2,1,
522,124,35,232,2,2,1,
522,124,11,315,2,2,1,
522,124,21,313,1,2,1,
522,124,34,160,1,2,1,
15587,619,11,54,77,8,1,
1563,599,15,82,3,8,2,
8252,1044,11,65,1,8,2,
17802,613,11,71,10,8,1,
17802,613,15,203,2,8,1,
2738,794,14,47,3,4,1,
9896,909,20,134,1,2,1,
14609,489,35,312,1,2,2,
14609,489,34,308,1,2,2,
10463,466,34,314,17,2,2,
1280,838,11,149,1,8,1,
1280,838,24,55,1,8,1,
1280,838,9,318,10,8,1,
977,931,54,80,1,8,1,
977,931,15,203,8,8,1,
979,976,15,82,1,8,2,
10908,520,35,312,11,2,2,
12569,1019,15,82,2,8,1,
12569,1019,11,201,1,8,1,
6078,613,11,193,52,8,1,
6078,613,15,82,25,8,1,
18339,471,34,313,126,2,2,
18339,471,35,232,2,2,2,
13799,1052,54,203,6,2,1,
7193,834,11,82,2,8,1,
7193,834,15,71,20,8,1,
8243,649,20,134,1,8,1,
8243,649,11,54,1,8,1,
13622,518,35,235,13,2,2,
13622,518,34,316,3,2,2,
5885,155,34,232,4,2,2,
5885,155,35,307,4,2,2,
632,1068,11,87,2,8,1,
3314,122,35,232,18,2,2,
3314,122,34,313,16,2,2,
3664,666,11,55,3,8,1,
18518,925,20,219,1,2,1,
7687,489,34,232,2,2,2,
7687,489,35,313,29,2,2,
