14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
9320,location 91,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - ,-200 - 116 - ,-resource_type 2 - ,-severity_type 2 - ,0
14394,location 152,-event_type 35 - event_type 34 - ,-feature 221 - feature 301 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
8218,location 931,-event_type 15 - event_type 11 - ,-feature 80 - feature 82 - feature 203 - ,-9 - 12 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
14804,location 120,-event_type 34 - event_type 11 - event_type 36 - event_type 20 - ,-feature 134 - feature 219 - feature 117 - feature 227 - feature 237 - feature 232 - feature 181 - feature 160 - feature 29 - ,-1 - 1 - 1 - 2 - 2 - 2 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
1080,location 664,-event_type 11 - ,-feature 171 - feature 55 - ,-8 - 8 - ,-resource_type 8 - ,-severity_type 1 - ,0
9731,location 640,-event_type 50 - ,-feature 374 - ,-3 - ,-resource_type 2 - ,-severity_type 4 - ,0
15505,location 122,-event_type 34 - event_type 35 - ,-feature 235 - feature 233 - feature 313 - feature 315 - feature 232 - feature 312 - ,-1 - 4 - 5 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
3443,location 263,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
13300,location 613,-event_type 54 - event_type 15 - ,-feature 71 - feature 82 - ,-1 - 30 - ,-resource_type 8 - ,-severity_type 1 - ,1
8976,location 760,-event_type 11 - event_type 2 - ,-feature 136 - feature 87 - feature 209 - ,-1 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
7965,location 519,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
10342,location 746,-event_type 11 - event_type 20 - ,-feature 134 - feature 166 - feature 219 - feature 50 - ,-3 - 1 - 3 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
6741,location 1066,-event_type 11 - event_type 13 - ,-feature 68 - feature 273 - ,-5 - 1 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - ,1
7187,location 812,-event_type 11 - ,-feature 167 - feature 55 - feature 171 - feature 51 - ,-5 - 3 - 5 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
16780,location 343,-event_type 34 - ,-feature 232 - feature 227 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14195,location 133,-event_type 35 - event_type 34 - ,-feature 312 - feature 313 - feature 233 - feature 232 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14025,location 976,-event_type 54 - event_type 15 - ,-feature 82 - feature 71 - ,-6 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
8548,location 948,-event_type 11 - event_type 14 - ,-feature 163 - ,-2 - ,-resource_type 8 - resource_type 4 - ,-severity_type 1 - ,1
9566,location 808,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - ,-4 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
15652,location 894,-event_type 44 - event_type 45 - event_type 43 - event_type 42 - ,-feature 378 - feature 291 - feature 376 - feature 375 - feature 293 - feature 290 - feature 368 - feature 283 - ,-6 - 33 - 31 - 29 - 2 - 6 - 31 - 34 - ,-resource_type 2 - ,-severity_type 1 - ,0
3931,location 875,-event_type 11 - ,-feature 202 - feature 81 - ,-2 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
4557,location 1024,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
3610,location 166,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
16574,location 687,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 4 - ,0
7504,location 1016,-event_type 11 - ,-feature 170 - feature 54 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
